value,price,exponential moving average
98,46291.45,46724.414023447076
99,46409.76,46721.80278673797
100,46419.0,46719.28990054098
101,46302.72,46715.83288891824
102,46454.0,46713.66000187327
103,46399.33,46711.05145413988
104,46626.53,46710.35003128395
105,46850.75,46711.51517625255
106,46809.4,46712.32749844132
107,46271.93,46708.67274741692
108,46228.27,46704.68600262507
109,46429.36,46702.40113953275
110,46682.79,46702.23839148683
111,46611.46,46701.48504383964
112,46308.23,46698.22151650487
113,46007.99,46692.49345412724
114,45922.29,46686.10172421747
115,44673.22,46669.39731156837
116,43958.56,46646.90073636863
117,43604.0,46621.648448100015
118,43415.84,46595.04422861371
119,43421.69,46568.7093387497
120,43656.0,46544.53747701734
121,43525.91,46519.48662658566
122,43248.4,46492.34067947706
123,42817.38,46461.84308047726
124,43007.21,46433.17392628243
125,43038.12,46404.99920490249
126,43091.6,46377.50211606513
127,43222.22,46351.31720223887
128,43050.0,46323.92037898377
129,42591.58,46292.946599905066
130,42874.38,46264.57675260295
131,42865.15,46236.36574220791
132,43047.4,46209.90129621449
133,43123.15,46184.28510288491
134,42802.24,46156.218338545616
135,42947.79,46129.592377229885
136,42878.24,46102.61019982549
137,42994.68,46076.818247959716
138,43353.88,46054.221250051334
139,43409.03,46032.2694554451
140,43206.67,46008.82049730863
141,43105.1,45984.7232317708
142,43163.57,45961.311171756104
143,43080.01,45937.399958712485
144,42787.99,45911.26377648251
145,42988.26,45887.006483731624
146,42795.77,45861.353068928875
147,41789.97,45827.56565756848
148,41680.0,45793.14602555546
149,41835.97,45760.306390488615
150,41520.0,45725.117125837256
151,41691.61,45691.644037656035
152,42089.3,45661.74906638918
153,42409.0,45634.75529820338
154,42167.9,45605.9847148158
155,42249.99,45578.13413626961
156,42393.02,45551.701653810946
157,41471.53,45517.84130813617
158,41876.11,45487.61947155413
159,41297.41,45452.845948968614
160,42131.75,45425.284986736515
161,41978.79,45396.68336858932
162,41695.07,45365.9645854475
163,41764.32,45336.07541876329
164,41910.96,45307.65122441671
165,41862.38,45279.05976197342
166,41522.5,45247.884992164516
167,41553.86,45217.229183100906
168,41992.23,45190.465704402974
169,41880.01,45162.99304295565
170,41870.9,45135.672768740245
171,41796.03,45107.95789099136
172,41880.0,45081.16985870098
173,41954.47,45055.22214203126
174,41901.74,45029.05216574884
175,41902.21,45003.10326810777
176,41948.85,44977.7567679575
177,42138.03,44954.190570713035
178,41907.21,44928.90442489799
179,41918.02,44903.91783216025
180,41851.23,44878.584323179675
181,41884.04,44853.73333294582
182,41737.01,44827.868409020964
183,41600.72,44801.08709442328
184,41342.06,44772.381475382426
185,40846.58,44739.80221002655
186,40684.09,44706.14484728774
187,40837.51,44674.03999378327
188,40976.06,44643.35136312947
189,41775.18,44619.5491111533
190,41912.88,44597.08712682837
191,41688.05,44572.94573988374
192,41774.19,44549.719551171016
193,41800.81,44526.907023775406
194,42090.34,44506.68655054906
195,41835.6,44484.519857183506
196,42065.29,44464.44326085833
197,41762.99,44442.0245615981
198,41866.0,44420.64676440641
199,41784.63,44398.771106610504
200,41657.45,44376.02155385855
201,41503.75,44352.18527540329
202,41636.97,44329.65236855347
203,41854.25,44309.10961030821
204,41737.43,44287.767870803575
205,41467.75,44264.3652328716
206,41530.99,44241.68162098055
207,41611.09,44219.85098512179
208,42127.99,44202.491142921615
209,42084.96,44184.918270366245
210,41954.99,44166.41264156652
211,42678.95,44154.068553254765
212,42414.64,44139.633461526515
213,42290.28,44124.28612989559
214,42193.23,44108.26076782177
215,41851.22,44089.53013904317
216,41644.58,44069.24009639551
217,41790.01,44050.32532381132
218,41905.0,44032.52179415313
219,41946.05,44015.20667552945
220,42164.36,43999.846952081076
221,42006.0,43983.30050434596
222,41914.84,43966.134857007
223,42034.99,43950.1087586086
224,41803.54,43932.29490998944
225,41788.54,43914.50441281111
226,41765.01,43896.666284903964
227,41564.26,43877.31021614957
228,40931.61,43852.86457120228
229,40753.0,43827.139554013884
230,40768.6,43801.75748302622
231,40973.56,43778.28696449488
232,41892.96,43762.64109756962
233,41167.99,43741.10872331593
234,41584.61,43723.21246835065
235,41280.45,43702.94058064649
236,41698.68,43686.30771275731
237,41696.66,43669.796113481316
238,41592.95,43652.56087602504
239,41801.55,43637.19978991695
240,41585.19,43620.170663029676
241,41913.72,43606.00924673898
242,42146.26,43593.89514510629
243,42251.59,43582.75568332117
244,42284.21,43571.97937059651
245,42096.61,43559.73564137994
246,42088.99,43547.53028336019
247,42191.79,43536.279326651806
248,41978.17,43523.348958795774
249,41967.92,43510.44083465639
250,41619.09,43494.74497710737
251,41800.95,43480.68858725586
252,41796.8,43466.71440810851
253,41691.83,43451.98507692089
254,41616.57,43436.75341653151
255,41716.42,43422.47679066817
256,42684.18,43416.34984634728
257,42523.15,43408.93739948962
258,42730.31,43403.30563683825
259,42938.55,43399.44874358649
260,42774.08,43394.25896148203
261,42643.77,43388.03083732036
262,42685.05,43382.19697145048
263,42700.68,43376.541228948816
264,42664.57,43370.63275401978
265,42617.4,43364.381859795554
266,42545.54,43357.58649166447
267,42592.92,43351.24071165066
268,42614.35,43345.125436035305
269,42688.49,43339.67617930472
270,42661.99,43334.052227609245
271,42550.09,43327.54631700668
272,42594.19,43321.460372467205
273,42778.0,43316.95032788242
274,42739.14,43312.15522142697
275,42906.98,43308.79277145662
276,43245.67,43308.26893102959
277,43881.76,43313.028193012746
278,43819.68,43317.23277232385
279,43549.99,43319.164367574274
280,43593.0,43321.436862449176
281,43814.93,43325.53224118404
282,43570.0,43327.5610192655
283,43707.2,43330.711550225955
284,43794.87,43334.56348756848
285,43756.14,43338.06204783762
286,43813.58,43342.00825490951
287,43880.72,43346.47889179823
288,43699.62,43349.40952340156
289,43540.96,43350.99915391275
290,43583.2,43352.92613188858
291,43501.19,43354.15653743307
292,43604.4,43356.23324666599
293,43645.7,43358.6354603866
294,43692.74,43361.40811216763
295,43682.7,43364.074434888236
296,43876.44,43368.32643127921
297,43855.47,43372.36911649681
298,43766.01,43375.63584582049
299,43592.1,43377.43222884273
300,43786.9,43380.83030163241
301,43891.64,43385.069386266165
302,44120.24,43391.17038721001
303,43170.0,43389.334948312004
304,43224.79,43387.969430068755
305,42800.0,43383.09001571134
306,42699.54,43377.417401473074
307,42690.02,43371.71285872226
308,42760.66,43366.64188064158
309,42780.0,43361.77348329186
310,42566.68,43355.17519712346
311,42534.32,43348.363120798786
312,42732.33,43343.250812742364
313,42576.16,43336.88491388143
314,42690.0,43331.516574347144
315,42611.77,43325.54357373015
316,42655.5,43319.98304614733
317,42864.34,43316.201776054826
318,42781.41,43311.763670029475
319,42635.62,43306.15251924085
320,42505.72,43299.50992572019
321,42535.65,43293.17083919969
322,42059.75,43282.93498161297
323,41983.12,43272.14813529253
324,42029.37,43261.834623796334
325,42140.37,43252.52786343288
326,42945.09,43249.97651186912
327,43082.57,43248.58724621046
328,43183.63,43248.048181926555
329,42904.07,43245.19359120518
330,43030.9,43243.415221153686
331,43055.09,43241.85235624785
332,43075.96,43240.475656196
333,43268.35,43240.70697855123
334,43230.0,43240.61812395744
335,43042.4,43238.973160273155
336,43082.04,43237.67081039537
337,42965.85,43235.41503603525
338,43080.0,43234.12528469886
339,42918.27,43231.50407901671
340,42895.77,43228.71790408712
341,42965.67,43226.53493392873
342,43048.54,43225.05779754758
343,43073.99,43223.80412287914
344,42968.18,43221.68276086355
345,43042.65,43220.19701181074
346,43085.01,43219.0751278953
347,42995.23,43217.217491979165
348,42700.0,43212.92523063494
349,42889.22,43210.23888017324
350,43162.19,43209.840134279686
351,43370.01,43211.169344783586
352,43306.35,43211.95922573974
353,43348.2,43213.08985457177
354,43297.97,43213.7942541189
355,43496.85,43216.14326445816
356,43473.72,43218.28083072822
357,43281.73,43218.807379850805
358,43225.92,43218.86640574416
359,43070.51,43217.635232252505
360,43060.0,43216.32705605124
361,42979.6,43214.36251616699
362,42915.41,43211.881582422866
363,42966.51,43209.84530373056
364,43004.91,43208.144595815786
365,42941.14,43205.928790041384
366,43171.67,43205.64448472983
367,43173.02,43205.37374211797
368,43063.92,43204.19985214189
369,43064.22,43203.03819361789
370,42904.4,43200.55986835965
371,42960.0,43198.56352090438
372,42990.01,43196.832786291074
373,43097.88,43196.0116013426
374,43280.64,43196.71391170491
375,43207.81,43196.8059954252
376,43359.08,43198.15266766234
377,43059.54,43197.00235506763
378,43042.16,43195.71735627038
379,42817.01,43192.57455663329
380,43014.28,43191.09493375667
381,42937.0,43188.98626210724
382,43157.21,43188.72255868727
383,43060.66,43187.65979886414
384,42873.86,43185.055651155715
385,42879.99,43182.523986000895
386,42901.91,43180.1952392291
387,42635.91,43175.67834927699
388,42606.26,43170.95288579752
389,42649.7,43166.62713570792
390,42730.98,43163.01180678088
391,42639.51,43158.6673934466
392,42770.01,43155.442020886876
393,42825.25,43152.70183814093
394,42775.48,43149.57136645511
395,42656.61,43145.48040075839
396,42544.28,43140.49118581434
397,42631.58,43136.26785647149
398,42645.25,43132.193019488324
399,42467.49,43126.67681185772
400,42212.29,43119.088539560136
401,42108.49,43110.70182968827
402,42162.86,43102.835922387945
403,42221.15,43095.519026766466
404,42065.0,43086.967001648074
405,41710.21,43075.541632339795
406,42063.78,43067.145270245695
407,42176.34,43059.75269538888
408,42338.0,43053.76304646449
409,42238.63,43046.99845686728
410,42254.78,43040.42402983934
411,42027.18,43032.015365691295
412,42022.52,43023.637810789296
413,42084.88,43015.84728953793
414,42219.79,43009.24100497745
415,42040.0,43001.19751116021
416,41709.99,42990.48209612983
417,41885.84,42981.3149418051
418,41909.98,42972.42419540008
419,41842.4,42963.04640124739
420,41793.31,42953.33904522044
421,41640.32,42942.44262160866
422,41441.51,42929.986749230164
423,41574.09,42918.73449404983
424,41693.15,42908.56366837307
425,41480.65,42896.71376241147
426,41596.98,42885.9275901093
427,41680.93,42875.92761010839
428,41767.25,42866.726966041104
429,42348.55,42862.42674225653
430,42460.89,42859.09448713407
431,42337.58,42854.76656607902
432,42242.57,42849.686096650985
433,42409.54,42846.03343194849
434,42324.74,42841.7073453763
435,41690.59,42832.154504335835
436,41699.55,42822.755296830976
437,41751.99,42813.86927777014
438,41700.0,42804.62554932392
439,41271.21,42791.900109080576
440,41362.88,42780.041021038414
441,41553.2,42769.85976775179
442,41494.2,42759.27337963767
443,42023.15,42753.164471922835
444,42075.1,42747.53738086953
445,42171.24,42742.75482999095
446,42475.99,42740.54101397443
447,41971.31,42734.15735410742
448,41904.33,42727.27082004844
449,42150.0,42722.48019083642
450,42000.01,42716.48458759296
451,41864.47,42709.41392711501
452,41626.0,42700.422940168
453,41704.26,42692.15602780146
454,41956.47,42686.05074956245
455,41657.89,42677.51829520923
456,41824.64,42670.44046703322
457,41756.21,42662.853492203074
458,41969.69,42657.10109807691
459,41915.36,42650.94557029204
460,41875.9,42644.51365684563
461,41878.84,42638.15951861454
462,41988.84,42632.7709748916
463,42039.99,42627.85163070163
464,41956.98,42622.284231276724
465,42038.6,42617.44037873501
466,42089.94,42613.06278223099
467,42117.31,42608.94865125812
468,42019.89,42604.060197720704
469,42368.81,42602.10791392219
470,42941.36,42604.92328393114
471,43275.74,42610.49022763295
472,43257.22,42615.85727968579
473,43020.35,42619.21406574649
474,42824.44,42620.91718553283
475,42909.99,42623.31613005124
476,42715.35,42624.07989660683
477,41319.68,42613.25500119931
478,41137.96,42601.01188915616
479,40661.69,42584.9179315698
480,40884.57,42570.80716035345
481,39750.69,42547.403698441805
482,39818.48,42524.757028745196
483,38447.91,42490.92427331992
484,38819.99,42460.46008847909
485,38888.95,42430.821000607895
486,38663.95,42399.56066035389
487,39106.42,42372.23169221818
488,39140.86,42345.415329627154
489,38942.78,42317.17769203689
490,38956.26,42289.28625890795
491,38878.71,42260.982721489636
492,38169.34,42227.027180232464
493,38484.39,42195.96795052099
494,38411.24,42164.559419811274
495,38831.88,42136.90232919043
496,38704.37,42108.41658371997
497,38369.69,42077.38980709158
498,38254.15,42045.6616759124
499,37967.04,42011.814193124745
500,38337.36,41981.32079733118
501,36634.29,41936.947097768265
502,36093.06,41888.45010940505
503,36425.98,41843.11840725231
504,36468.66,41798.5170926693
505,36475.49,41754.34259397495
506,36460.42,41710.4096263901
507,36319.99,41665.67585355699
508,36258.38,41620.80202904614
509,35728.06,41571.899605568586
510,35706.43,41523.22350925681
511,35374.14,41472.19377059078
512,35583.24,41423.32278494272
513,34804.48,41368.39462905108
514,35461.77,41319.376997274725
515,35385.59,41270.133951654185
516,35744.46,41224.27773628776
517,35572.97,41177.378916899484
518,35008.02,41126.18091758912
519,34829.93,41073.92987262987
520,35085.04,41024.229541736684
521,34590.01,40970.83352894219
522,34379.45,40916.1332506937
523,34506.47,40862.94102454687
524,35275.85,40816.57512392822
525,35364.01,40771.325620825075
526,34861.04,40722.27760737425
527,35043.73,40675.15273096451
528,35378.61,40631.19801950423
529,35296.61,40586.92757950834
530,34862.32,40539.42046266594
531,35032.09,40493.7164754239
532,35199.96,40449.78488641624
533,35429.32,40408.121277400336
534,35262.76,40365.42118381195
535,35553.2,40325.485738303134
536,35820.2,40288.09747491473
537,35860.35,40251.35268259179
538,35883.99,40215.109008877334
539,35671.57,40177.403290961345
540,35780.01,40140.91040057992
541,35944.34,40106.08409020167
542,35308.53,40066.27036331203
543,35265.33,40026.428534570856
544,35211.97,39986.47452183583
545,35314.96,39947.7067664679
546,34942.06,39906.166129401776
547,34763.65,39863.489647000104
548,35271.3,39825.38018934865
549,35335.74,39788.12176454078
550,35490.61,39752.4577664948
551,36230.01,39723.225834822646
552,35820.19,39690.835495944455
553,35640.34,39657.22142543869
554,35191.05,39620.15776215704
555,35315.02,39584.430477823786
556,35106.28,39547.26740331903
557,35164.38,39510.894893747914
558,35257.01,39475.592944422206
559,34875.53,39437.41814820294
560,34952.37,39400.19783162034
561,34500.0,39359.53228944921
562,33270.45,39309.000486217265
563,33690.01,39262.36985977563
564,33080.0,39211.06388583558
565,33319.31,39162.16966271662
566,33609.51,39116.08949954054
