,time,price,fees,treasury,entry_fee_income,exit_fee_income,LA_exposure,LA_position,funding_payments,bull,liquidations,exits
14,2019-05-22,2.48,174987.35820716422,12733214.14119379,122524.9942168165,311443.6541369508,9279467.629775848,75704068.2546791,2252953.0712592495,True,0.0,121.0
15,2019-05-23,2.31,135300.24915067578,12690156.780894293,96495.15768078106,216048.41785727994,8477828.890322998,68019210.84109204,178357.60945017432,False,7.0,95.0
16,2019-05-24,1.96,270814.00762152864,12808549.772042874,88041.56079070344,442753.8941474927,3111037.3461039644,23699140.650725458,152421.01647294607,False,281.0,93.0
17,2019-05-25,1.16,101605.99349881173,12820301.081413515,52782.21029613962,65080.74216248197,2937156.9510349147,22750952.713853292,89854.68412817012,False,114.0,30.0
18,2019-05-26,1.2,86432.2247917612,13417492.275212307,53667.137153559896,50051.53259655353,4365235.988629082,35469372.84771046,510758.9690070305,True,0.0,42.0
19,2019-05-27,1.23,110856.00469198017,14190474.327608453,59396.50702272902,76956.37874840658,5805728.641882854,44859488.326840505,662126.0477041658,True,0.0,64.0
20,2019-05-28,1.22,108063.1606814697,14193872.19387564,56840.09806874979,74996.95796264324,6724537.330192887,52421670.10824852,104665.29441428224,False,0.0,68.0
21,2019-05-29,1.48,128253.86538381662,15608159.529236395,80673.33851745274,109142.38225059587,9046832.418158032,72411794.48068342,1286033.4699769374,True,0.0,74.0
22,2019-05-30,1.76,202317.107228504,17276430.70793074,79501.91692909042,276576.19179307664,8754289.708771994,69410704.14137498,1465954.0714658394,True,0.0,112.0
23,2019-05-31,1.67,134541.95031400377,17236514.71220913,90787.97710732956,133897.07991705675,8770507.19997934,72998849.16672078,174457.94603561235,False,0.0,81.0
24,2019-06-01,1.67,123345.35360198465,17185914.26795169,76319.62034176163,129667.12017355274,9297198.717872523,76437789.36282414,173945.7978594274,False,0.0,62.0
25,2019-06-02,1.65,149023.1614580268,17163321.54885856,78879.79750713432,167008.41889860985,8917910.2034382,74121029.78355156,171615.88055115618,False,0.0,101.0
26,2019-06-03,1.72,176893.7856724495,18741688.94973643,79942.71395045631,224314.59740615686,8492066.472391866,67900853.44987515,1401473.6152054234,True,0.0,122.0
27,2019-06-04,1.53,168062.67889044763,18736160.108676083,71247.45422859852,185888.44447378634,7244781.891158103,53309730.71655242,173591.51995079475,False,72.0,71.0
28,2019-06-05,1.51,113055.44765505326,18678441.663390774,69434.41734596537,101279.30861316505,7914851.134379365,58836302.96149376,170773.8929403601,False,25.0,66.0
29,2019-06-06,1.63,146194.99860696011,20011283.44887168,73249.43475591409,165048.41297343085,7895171.860127123,60667013.6438621,1186646.7868739422,True,0.0,98.0
30,2019-06-07,1.6,139989.02551230168,19957820.258629892,78208.43114451735,145774.00967516538,8027458.739533322,61213388.56151792,193452.21575408624,False,0.0,97.0
31,2019-06-08,1.71,146523.7879428458,21439889.27951504,82750.74932151014,167804.92806075618,8394375.612130411,65085050.33831879,1335545.232942301,True,0.0,105.0
32,2019-06-09,1.71,117605.35875035964,21336314.743276794,80123.18821289248,120981.9752502225,9069619.702696966,70825459.86690977,221179.89498860296,False,0.0,65.0
33,2019-06-10,1.7,128645.93573791118,21246018.080088757,79078.05813392017,139620.0326205288,9359218.50262328,73137170.54509631,218942.59892595,False,0.0,82.0
34,2019-06-11,1.85,187140.27650981583,22877525.449381374,79565.29230808963,266644.2192350697,8246203.467887584,65061580.755982086,1444367.0927828024,True,0.0,141.0
35,2019-06-12,1.74,134299.25288105468,22771581.25237081,78911.67795317476,154769.02205986038,7929800.701246204,61631895.40255128,240243.44989161976,False,0.0,98.0
